Days,Afghanistan,Albania,Algeria
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,5,0,0
35,5,0,1
36,5,0,1
37,5,0,1
38,5,0,1
39,5,0,1
40,5,0,1
41,5,0,3
42,5,0,5
43,5,0,12
44,5,0,12
45,5,0,17
46,8,0,17
47,8,0,19
48,8,2,20
49,8,10,20
50,11,12,20
51,11,23,24
52,11,33,26
53,14,38,37
54,20,42,48
55,25,51,54
56,26,55,60
57,26,59,74
58,26,64,87
59,24,70,90
60,24,76,139
61,34,89,201
62,40,104,230
63,42,123,264
64,74,146,302
65,80,174,367
66,91,186,409
67,106,197,454
68,114,212,511
69,114,223,584
70,166,243,716
71,192,259,847
72,235,277,986
73,269,304,1171
74,270,333,1251
75,299,361,1320
76,337,377,1423
77,367,383,1468
78,423,400,1572
79,444,409,1666
80,521,416,1761
81,521,433,1825
82,555,446,1914
83,607,467,1983
84,665,475,2070
85,770,494,2160
86,794,518,2268
87,845,539,2418
88,908,548,2534
89,933,562,2629
90,996,584,2718
91,1026,609,2811
92,1092,634,2910
93,1176,663,3007
94,1226,678,3127
95,1330,712,3256
96,1463,726,3382
97,1531,736,3517
98,1703,750,3649
99,1827,766,3848
100,1827,773,4006
